filename,type,title,artist,techniques,Soul Score,lyrics,rhythm,instrument
BP_FS2_01548.json,Instrumental,지나온 날,김동근,2,0.25,,,대금
AP_C11_01577.json,Vocal,사선무,조일하,4,0.48,태평으로 꾸민 기상,,여성성악
AM_F06_02292.json,Vocal,줌치노래 (mbc),박찬이,4,0.13,밀양이라 영남 숲에 뿌리 없는 낭기나서 그 나무 열매가 열어 무슨 열매 열었던 고별과 달이 열었다 네 별은 따서 하늘 엮고 달은 따서 줌치로 집어,,여성성악
AP_E04_07783.json,Instrumental,양청도드리,김동근,0,0.0,,,단소
AP_E01_04047.json,Instrumental,평조회상 중령산(지금풍류),박지영,6,0.27,,,피리
AP_E05_05787.json,Instrumental,우조 언락 (해금풍류),박혜신,2,0.3,,,거문고
BP_CR2_01730.json,Instrumental,나의 바다,임정완,8,0.68,,굿거리,가야금
AP_E01_03485.json,Instrumental,영산회상 군악(지금풍류),황진아,6,0.19,,,거문고
AP_F07_06753.json,Instrumental,성주풀이,,0,0.0,,자진모리,장구
AP_F02_07227.json,Instrumental,서용석류 대금산조 중모리,김상연,14,0.67,,중모리,대금
AP_F01_00249.json,Instrumental,경기대풍류 중 잦은헛튼타령,,1,0.17,,,대금
AP_E01_03106.json,Instrumental,평조회상 염불도드리(지금풍류),박지영,4,0.22,,,피리
AP_F08_01753.json,Vocal,판소리 춘향가,안숙선,15,0.78,무덤 앞으섰난 돌은 망부석이 될 것이요,중모리,여성성악
AP_E05_05567.json,Instrumental,계면조 계락 (해금풍류),박혜신,2,0.27,,,거문고
AP_F07_06311.json,Instrumental,국문뒤풀이,,0,0.0,,굿거리,장구
AP_F09_01397.json,Vocal,광대가,김일구,5,0.42,그 또한 어렵구나 사설이라 하는 것은 정금 미옥 좋은 말로 분명하고 완연하게,자진모리,남성성악
BP_CR2_01384.json,Vocal,숨비소리,장명서,5,0.42,보름 파도세지 않게 해줍서,굿거리,여성성악
BM_FS2_03350.json,Instrumental,아리랑 with Winder,,5,0.19,,,피리
AP_F02_00288.json,Instrumental,성금련류 가야금산조,,1,0.33,,휘모리,가야금
AP_F07_06352.json,Instrumental,금강산타령 Part 1,,0,0.0,,중모리,장구
AP_E01_03772.json,Instrumental,영산회상 세령산(지금풍류),황진아,3,0.2,,,거문고
BP_FS2_01464.json,Instrumental,떠난다,김초롱,0,0.0,,,징
BP_CR1_00034.json,Instrumental,꽃상여,김보미,1,0.11,,굿거리,해금
BP_FS1_00185.json,Instrumental,새야새야 (천지윤),천지윤,6,0.44,,,해금
AP_E05_05432.json,Instrumental,다스름 (해금풍류),이승희,8,0.57,,,해금
BP_CR2_01799.json,Vocal,무서운 시간,구민지,3,0.41,가랑잎이 파리 푸르러,,여성성악
BP_CR2_01335.json,Vocal,오채 (노올량),장명서,0,0.0,입춘 우수경칩춘분청 명곡우입하소만 망종,,여성성악
BP_CR2_01763.json,Instrumental,새로운 길,임정완,2,0.24,,,가야금
AP_E01_03922.json,Instrumental,평조회상 중령산(지금풍류),김대곤,2,0.1,,,대금
AP_F13_08183.json,Instrumental,무악장단,윤호세,0,0.0,,,꽹과리
AP_F07_06264.json,Instrumental,제비가 Part 2,,0,0.0,,,장구
AP_F06_04367.json,Vocal,방아찧는소리 (디딜방아) (mbc),신정님,3,0.21,방아를 찧자 방아를 찧자 상가래꾼 두 굴러라 옆 가래꾼 두 굴러라콱콱에 굴러라,자진모리,여성성악
AP_F07_06782.json,Instrumental,소춘향가,,0,0.0,,,장구
AP_E01_06959.json,Instrumental,세령산 (피리정악 영산회상),이호진,5,0.24,,,피리
AP_E01_02680.json,Instrumental,평조회상 상령산(지금풍류),정겨운,5,0.21,,,해금
AP_E01_02652.json,Instrumental,평조회상 상령산(지금풍류),공유림,8,0.32,,,가야금
AP_F02_07228.json,Instrumental,서용석류 대금산조 중모리,김상연,15,0.71,,중모리,대금
BP_CR2_01389.json,Instrumental,씨름,고명진,0,0.0,,,북
AP_E01_03222.json,Instrumental,평조회상 상령산(성음지교3),서은영,2,0.07,,,가야금
AP_C11_01512.json,Vocal,몽금척,박진희,3,0.29,금척,,여성성악
BP_FS2_01485.json,Vocal,떠난다,함보영,4,0.94,눈물이 차오르지만 아니아니 울긴 왜 울어,,여성성악
BP_CR2_00660.json,Instrumental,동물의 목장,노은아,4,0.46,,,해금
AP_E04_01904.json,Instrumental,계면가락도드리(지금풍류),김대곤,4,0.39,,,대금
